Date,Ticker,Ticker_name,Exposure,Category,Sharpe_Rank_qtd_change,current_Sharpe_Rank,previous_Sharpe_Rank
2026-08-25,CI,THE CIGNA GROUP,Health Care,Health Care,-42.5,10.5,53.0
2026-08-25,CIEN,CIENA CORPORATION,Information Technology,Information Technology,29.3,35.5,6.2
2026-08-25,CINF,CINCINNATI FINANCIAL ,Financials,Financials,-96.8,3.0,99.8
2026-08-25,CL,COLGATE-PALMOLIVE COMPANY,Consumer Staples,Consumer Staples,-41.1,34.3,75.4
2026-08-25,CLX,THE CLOROX COMPANY,Consumer Staples,Consumer Staples,-9.4,71.2,80.6
2026-08-25,CMBT,CMB.TECH NV,,MR Discretion,89.2,99.8,10.6
2026-08-25,CMCSA,COMCAST ,Communication Services,Communication Services,30.9,90.3,59.4
2026-08-25,CME,CME GROUP INC.,Financials,Financials,78.9,84.3,5.4
2026-08-25,CMG,"CHIPOTLE MEXICAN GRILL, INC.",Consumer Discretionary,Consumer Discretionary,-10.4,72.6,83.0
2026-08-25,CMI,CUMMINS INC.,Industrials,Industrials,-42.8,5.4,48.2
2026-08-25,CMRE,COSTAMARE INC.,,MR Discretion,51.8,52.8,1.0
2026-08-25,CMS,CMS ENERGY ,Utilities,Utilities,-83.2,3.0,86.2
2026-08-25,CNC,CENTENE ,Health Care,Health Care,-11.4,30.0,41.4
2026-08-25,CNP,"CENTERPOINT ENERGY, INC.",Utilities,Utilities,-86.0,0.6,86.6
2026-08-25,CNR,"CORE NATURAL RESOURCES, INC.",,MR Discretion,90.8,95.0,4.2
2026-08-25,COF,CAPITAL ONE FINANCIAL ,Financials,Financials,-28.8,51.4,80.2
2026-08-25,COHR,COHERENT CORP.,Information Technology,Information Technology,22.1,43.1,21.0
2026-08-25,COIN,"COINBASE GLOBAL, INC.",Financials,Financials,70.9,82.7,11.8
2026-08-25,COMT,ISHARES:GSCI COMM DYN RS,,Commodities,74.6,77.2,2.6
2026-08-25,COO,"THE COOPER COMPANIES, INC.",Health Care,Health Care,-48.4,51.0,99.4
2026-08-25,COP,CONOCOPHILLIPS,Energy,Energy,94.4,96.2,1.8
2026-08-25,COR,"CENCORA, INC.",Health Care,Health Care,-34.8,47.0,81.8
2026-08-25,CORN,TEUCRIUM:CORN,,Commodities,89.6,95.8,6.2
2026-08-25,COST,COSTCO WHOLESALE ,Consumer Staples,Consumer Staples,2.2,50.0,47.8
2026-08-25,CPAY,"FLEETCOR TECHNOLOGIES, INC.",Financials,Financials,65.0,79.6,14.6
2026-08-25,CPER,UNITED STATES COPPER IDX,,Commodities,74.1,85.9,11.8
2026-08-25,CPRT,"COPART, INC.",Industrials,Industrials,70.9,89.5,18.6
2026-08-25,CPT,CAMDEN PROPERTY TRUST,Real Estate,Real Estate,-78.1,13.7,91.8
2026-08-25,CRESY,CRESUD INC.,,MR Discretion,20.4,44.6,24.2
2026-08-25,CRH,CRH PUBLIC LIMITED COMPANY,Materials,Materials,-20.8,21.2,42.0
2026-08-25,CRL,CHARLES RIVER LABORATORIES,Health Care,Health Care,-13.8,79.2,93.0
2026-08-25,CRM,"SALESFORCE, INC.",Information Technology,Information Technology,86.9,90.7,3.8
2026-08-25,CRWD,"CROWDSTRIKE HOLDINGS, INC.",Information Technology,Information Technology,-3.6,44.6,48.2
2026-08-25,CSCO,"CISCO SYSTEMS, INC.",Information Technology,Information Technology,-1.3,18.1,19.4
2026-08-25,CSGP,"COSTAR GROUP, INC.",Real Estate,Real Estate,78.8,96.2,17.4
2026-08-25,CSX,CSX ,Industrials,Industrials,-5.7,43.3,49.0
2026-08-25,CTAS,CINTAS ,Industrials,Industrials,-23.8,28.4,52.2
2026-08-25,CTSH,COGNIZANT TECHNOLOGY SOLUTIONS ,Information Technology,Information Technology,85.7,86.7,1.0
2026-08-25,CTVA,"CORTEVA, INC.",Materials,Materials,-72.6,27.2,99.8
2026-08-25,CVNA,CARVANA CO.,Consumer Discretionary,Consumer Discretionary,46.2,79.2,33.0
2026-08-25,CVS,CVS HEALTH ,Health Care,Health Care,-90.8,1.4,92.2
2026-08-25,CVX,CHEVRON ,Energy,Energy,69.0,69.2,0.2
2026-08-25,D,"DOMINION ENERGY, INC.",Utilities,Utilities,-80.0,3.0,83.0
2026-08-25,DAL,"DELTA AIR LINES, INC.",Industrials,Industrials,-76.5,10.5,87.0
2026-08-25,DASH,"DOORDASH, INC.",Consumer Discretionary,Consumer Discretionary,22.4,98.6,76.2
2026-08-25,DBA,INVESCO DB MS AGRI,,Commodities,39.5,63.7,24.2
2026-08-25,DBB,INVESCO DB MS BMTL,,Commodities,83.3,83.9,0.6
2026-08-25,DBC,INVESCO DB CM IDX,,Commodities,73.8,76.4,2.6
2026-08-25,DD,"DUPONT DE NEMOURS, INC.",Materials,Materials,3.1,14.1,11.0
2026-08-25,DDOG,"DATADOG, INC.",Information Technology,Information Technology,-7.8,22.8,30.6
2026-08-25,DE,DEERE & COMPANY,Industrials,Industrials,-55.1,38.3,93.4
2026-08-25,DECK,DECKERS OUTDOOR ,Consumer Discretionary,Consumer Discretionary,-8.9,12.9,21.8
2026-08-25,DELL,DELL TECHNOLOGIES INC.,Information Technology,Information Technology,34.0,56.2,22.2
2026-08-25,DG,DOLLAR GENERAL ,Consumer Staples,Consumer Staples,-37.4,31.2,68.6
2026-08-25,DGX,QUEST DIAGNOSTICS INC.,Health Care,Health Care,-22.2,73.6,95.8
2026-08-25,DHI,"D.R. HORTON, INC.",Consumer Discretionary,Consumer Discretionary,-30.0,49.4,79.4
2026-08-25,DHR,DANAHER ,Health Care,Health Care,10.1,85.1,75.0
2026-08-25,DHT,"DHT HOLDINGS, INC.",,MR Discretion,13.2,49.8,36.6
2026-08-25,DIA,SPDR DOW JONES INDUS AVG,,Sector & Style ETFs,-11.5,37.5,49.0
2026-08-25,DIS,THE WALT DISNEY COMPANY,Communication Services,Communication Services,77.6,95.8,18.2
2026-08-25,DJI,DOW JONES INDUSTRIAL AVG INDEX,,Indices,-16.3,36.3,52.6
2026-08-25,DLR,"DIGITAL REALTY TRUST, INC.",Real Estate,Real Estate,8.6,45.8,37.2
