Date,Ticker,Ticker_name,Category,Close,lt_pt_sm,change_pct,Ivol,rvol,prem_disc,model_score,Spread_Quad,rating,day_rr_ratio,week_rr_ratio,month_rr_ratio,day_pr_low,day_pr_high,week_pr_low,week_pr_high,month_pr_low,month_pr_high,day_dn,day_up,week_dn,week_up,month_dn,month_up
2026-07-10,AKAM,"AKAMAI TECHNOLOGIES, INC.",Information Technology,126.19,141.94,0.1248,0.7761,0.57176802,0.3573686754988499,63.0,2,Buy,-1.9192166462668252,-1.1053540587219348,1.8547071905114894,110.51,134.36,94.19,155.14,99.21,176.23,-0.12425707266819874,0.06474364054203985,-0.25358586258816074,0.22941596006022658,-0.213804580394643,0.39654489262223636
2026-07-10,ALB,ALBEMARLE ,Materials,126.05,153.8,0.2202,0.5616,0.56108448,0.0009187921219990791,-9.0,2,Neutral,-2.58095238095238,1.6606217616580314,3.2062835882596126,115.21,130.25,110.61,151.69,101.86,203.61,-0.08599761999206668,0.03332011106703692,-0.12249107497024991,0.2034113447044823,-0.1919079730265767,0.6153113843712814
2026-07-10,ALGN,"ALIGN TECHNOLOGY, INC.",Health Care,179.45,181.74,0.0128,0.5446,0.54267005,0.003556396746052126,25.0,2,Neutral,1.1756373937677098,1.12707182320442,-1.2532998114393454,168.86,191.9,159.54,201.89,139.57,211.27,-0.05901365282808568,0.06937865700752299,-0.1109501253831151,0.12504876010030652,-0.2222346057397604,0.17731958762886602
2026-07-10,ALL,THE ALLSTATE ,Financials,251.61,256.96,0.0213,0.2485,0.25756389,-0.035190841386966265,-70.0,3,Sell,3.054766734279915,1.174989144594008,-1.8187454412837374,246.68,266.67,228.58,278.67,201.74,279.03,-0.019593815826080108,0.059854536783116696,-0.09153054330114063,0.10754739477763198,-0.19820356901553993,0.10897818051746744
2026-07-10,ALLE,ALLEGION PUBLIC LIMITED COMPANY,Industrials,136.63,145.18,0.0626,0.2812,0.30963228,-0.09182595561418849,-15.0,4,Neutral,1.2482269503546115,1.1731996353691891,1.1335740072202176,130.99,143.67,125.66,149.5,117.24,158.61,-0.04127936763521911,0.0515260191758764,-0.08028983385786426,0.0941960038058991,-0.14191612383810293,0.160872429188319
2026-07-10,AMAT,"APPLIED MATERIALS, INC.",Information Technology,602.5,803.09,0.3329,0.8987,1.01801631,-0.11720471354727102,-16.0,4,Neutral,-1.7043879907621258,2.647148676171082,1.9456618962432914,506.56,658.79,523.94,810.46,423.62,950.54,-0.15923651452282162,0.09342738589211619,-0.13039004149377587,0.34516182572614107,-0.296896265560166,0.5776597510373442
2026-07-10,AMCR,AMCOR PLC,Materials,43.18,44.07,0.0206,0.281,0.34284175,-0.18037986913787474,-65.0,4,Sell,1.4539877300613457,1.496932515337425,-1.2812500000000007,41.55,45.55,39.92,48.06,34.98,49.58,-0.03774895785085697,0.05488652153774898,-0.07549791570171371,0.11301528485409928,-0.18990273274664204,0.14821676702176934
2026-07-10,AMD,"ADVANCED MICRO DEVICES, INC.",Information Technology,557.89,673.55,0.2073,0.7899,0.81636244,-0.0324150630937895,11.0,3,Neutral,-5.018032786885224,2.2564138908575484,1.4939187545609338,496.67,570.09,487.34,717.08,393.45,803.55,-0.10973489397551484,0.02186811020093571,-0.12645862087508297,0.28534298876122555,-0.29475344601982467,0.4403377009804801
2026-07-10,AME,"AMETEK, INC.",Industrials,233.98,247.73,0.0588,0.2997,0.27880398,0.07494878659910098,5.0,2,Neutral,-1.1297016861219158,1.2847457627118655,1.2914378029079163,225.27,241.69,219.23,252.93,203.03,273.95,-0.037225403880673524,0.03295153431917264,-0.0630395760321395,0.08098982819044376,-0.1322762629284554,0.17082656637319427
2026-07-10,AMGN,AMGEN INC.,Health Care,363.39,381.38,0.0495,0.3094,0.27720066,0.11615895864028625,-7.0,1,Neutral,3.011994002998524,1.5064229249011856,-1.0618892508143314,356.72,383.48,343.15,393.88,301.45,421.72,-0.018354935468779976,0.055284955557390214,-0.05569773521560861,0.0839043451938688,-0.1704504802003357,0.16051624975921208
2026-07-10,AMP,"AMERIPRISE FINANCIAL, INC.",Financials,506.76,499.53,-0.0143,0.2927,0.30628275,-0.044347094310730806,-70.0,4,Sell,1.187866927592955,-2.141537446387326,-2.141684511063527,476.1,543.18,441.85,537.07,386.74,562.8,-0.06050201278711809,0.07186834004262366,-0.12808824690188647,0.05981135054069009,-0.2368379509037809,0.11058489225668944
2026-07-10,AMT,AMERICAN TOWER ,Real Estate,168.59,174.19,0.0332,0.2978,0.33498386,-0.11100194498923022,-41.0,3,Sell,-65.84210526315863,-1.4961656441717794,1.2950690335305717,156.08,168.78,149.08,181.63,143.24,201.42,-0.07420368942404643,0.0011269944836584944,-0.11572453882199418,0.07734741087846242,-0.1503647903197105,0.1947327836763746
