Ticker,Date,Zscore,prem_disc
EWH,2026-08-11,1.42,0.8466
EWH,2026-07-13,-1.74,0.2075
EWI,2026-08-11,0.16,-0.0758
EWI,2026-07-13,-1.85,-0.0517
EWJ,2026-08-11,0.09,-0.1171
EWJ,2026-07-13,0.3,-0.1711
EWK,2026-08-11,-1.34,1.0724
EWK,2026-07-13,0.91,0.0373
EWL,2026-08-11,-0.58,-0.2343
EWL,2026-07-13,-0.65,-0.2089
EWM,2026-08-11,-0.37,0.0921
EWM,2026-07-13,0.23,-0.1117
EWN,2026-08-11,-0.99,-0.3465
EWN,2026-07-13,0.46,-0.4105
EWO,2026-08-11,0.42,
EWO,2026-07-13,-1.01,
EWP,2026-08-11,0.59,-0.1473
EWP,2026-07-13,-0.53,0.0537
EWQ,2026-08-11,-1.54,0.2981
EWQ,2026-07-13,-1.59,-0.2167
EWS,2026-08-11,1.9,-0.2946
EWS,2026-07-13,-2.21,2.0279
EWT,2026-08-11,-0.41,-0.2235
EWT,2026-07-13,-0.4,-0.2958
EWU,2026-08-11,-1.54,0.1035
EWU,2026-07-13,0.46,-0.1859
EWW,2026-08-11,-0.99,0.1863
EWW,2026-07-13,-0.7,-0.0269
EWY,2026-08-11,-0.44,-0.2581
EWY,2026-07-13,-0.74,-0.1421
EWZ,2026-08-11,1.28,-0.1896
EWZ,2026-07-13,-0.2,0.214
EXC,2026-08-11,-0.87,-0.0004
EXC,2026-07-13,0.42,0.007
EXE,2026-08-11,1.34,-0.1496
EXE,2026-07-13,0.11,0.4733
EXPD,2026-08-11,1.1,-0.2722
EXPD,2026-07-13,2.07,0.4323
EXPE,2026-08-11,0.21,-0.083
EXPE,2026-07-13,0.63,0.2056
EXR,2026-08-11,-0.78,0.1519
EXR,2026-07-13,0.23,0.1864
F,2026-08-11,-1.07,0.1268
F,2026-07-13,-1.03,0.5413
FANG,2026-08-11,1.21,-0.1217
FANG,2026-07-13,-0.64,0.2222
FAST,2026-08-11,0.98,0.0693
FAST,2026-07-13,-1.38,1.262
FCX,2026-08-11,0.08,-0.0355
FCX,2026-07-13,-1.48,0.0735
FDS,2026-08-11,-2.16,-0.0505
FDS,2026-07-13,1.06,-0.1767
FDX,2026-08-11,-0.77,0.2415
FDX,2026-07-13,-0.02,-0.1978
FE,2026-08-11,-1.42,0.3199
FE,2026-07-13,1.0,0.3649
FERG,2026-08-11,2.07,-0.279
FERG,2026-07-13,-2.98,
FFIV,2026-08-11,0.53,-0.0308
FFIV,2026-07-13,0.31,0.7712
FICO,2026-08-11,1.18,-0.3443
FICO,2026-07-13,-1.69,0.3494
FIS,2026-08-11,0.07,0.2048
FIS,2026-07-13,0.48,0.2458
FISV,2026-08-11,-0.64,0.1133
FISV,2026-07-13,0.17,-0.04
FITB,2026-08-11,-1.88,0.5299
FITB,2026-07-13,-0.88,0.0642
FIX,2026-08-11,-1.11,-0.0646
FIX,2026-07-13,1.02,0.074
FLEX,2026-08-11,-1.37,-0.0786
FLEX,2026-07-13,1.29,0.0646
FOXA,2026-08-11,-0.45,0.031
FOXA,2026-07-13,0.56,-0.4694
FRO,2026-08-11,-1.42,1.0274
FRO,2026-07-13,1.42,-0.2805
FRT,2026-08-11,0.21,-0.1336
FRT,2026-07-13,0.62,0.0176
FSLR,2026-08-11,1.49,0.0257
FSLR,2026-07-13,-1.74,0.4263
FTI,2026-08-11,1.78,0.0207
FTI,2026-07-13,0.3,0.1063
FTNT,2026-08-11,-2.46,0.2557
FTNT,2026-07-13,-0.74,0.8026
FTV,2026-08-11,0.92,-0.3553
FTV,2026-07-13,-3.72,0.541
FVX,2026-08-11,0.58,
FVX,2026-07-13,-0.3,
FXA,2026-08-11,0.4,0.6041
FXA,2026-07-13,-1.53,-0.2496
FXB,2026-08-11,0.06,0.0159
FXB,2026-07-13,0.5,0.0204
FXC,2026-08-11,0.69,0.5646
FXC,2026-07-13,0.73,0.5921
FXE,2026-08-11,-0.13,0.0065
FXE,2026-07-13,0.03,0.1515
FXY,2026-08-11,1.33,-0.3972
FXY,2026-07-13,1.81,0.7488
GD,2026-08-11,-0.55,-0.0555
GD,2026-07-13,0.12,-0.1891
GDDY,2026-08-11,1.21,-0.4561
GDDY,2026-07-13,-0.73,0.0618
GDX,2026-08-11,1.34,-0.1132
GDX,2026-07-13,-2.15,-0.1579
GDXJ,2026-08-11,1.03,-0.1198
GDXJ,2026-07-13,-2.04,-0.1875
GE,2026-08-11,0.45,0.004
GE,2026-07-13,-1.61,0.3782
GEHC,2026-08-11,1.06,-0.4779
GEHC,2026-07-13,-1.22,0.3888
GEN,2026-08-11,-1.05,0.2054
GEN,2026-07-13,-1.48,0.167
GEOS,2026-08-11,1.98,0.4155
GEOS,2026-07-13,-1.24,1.3555
GEV,2026-08-11,-1.62,-0.1232
GEV,2026-07-13,0.91,-0.0747
GGB,2026-08-11,0.55,-0.307
GGB,2026-07-13,-0.52,1.4449
GILD,2026-08-11,-2.04,-0.0394
GILD,2026-07-13,1.5,-0.0973
GIS,2026-08-11,-1.35,-0.1015
GIS,2026-07-13,1.29,-0.4004
GL,2026-08-11,0.78,-0.3114
GL,2026-07-13,-1.27,0.9133
GLATF,2026-08-11,0.91,
GLATF,2026-07-13,-1.15,
GLD,2026-08-11,0.34,0.0093
GLD,2026-07-13,-1.95,-0.0699
GLW,2026-08-11,-0.78,-0.2076
GLW,2026-07-13,0.72,-0.2576
GM,2026-08-11,0.65,0.0923
GM,2026-07-13,-1.79,0.4713
GNK,2026-08-11,-0.36,0.1059
GNK,2026-07-13,1.55,0.6898
GNRC,2026-08-11,-0.63,0.0412
GNRC,2026-07-13,0.41,-0.0071
GOOGL,2026-08-11,1.53,-0.3904
GOOGL,2026-07-13,-0.06,0.2188
GPC,2026-08-11,-1.47,-0.1068
