Date,Ticker,Ticker_name,Exposure,Category,model_score_mtd_change,current_model_score,previous_model_score
2026-07-16,CVX,CHEVRON ,Energy,Energy,13.0,15.0,2.0
2026-07-16,D,"DOMINION ENERGY, INC.",Utilities,Utilities,35.0,-6.0,-41.0
2026-07-16,DAL,"DELTA AIR LINES, INC.",Industrials,Industrials,39.0,16.0,-23.0
2026-07-16,DASH,"DOORDASH, INC.",Consumer Discretionary,Consumer Discretionary,-22.0,-58.0,-36.0
2026-07-16,DBA,INVESCO DB MS AGRI,,Commodities,-66.0,-53.0,13.0
2026-07-16,DBB,INVESCO DB MS BMTL,,Commodities,-90.0,-17.0,73.0
2026-07-16,DBC,INVESCO DB CM IDX,,Commodities,17.0,17.0,0.0
2026-07-16,DD,"DUPONT DE NEMOURS, INC.",Materials,Materials,-37.0,19.0,56.0
2026-07-16,DDOG,"DATADOG, INC.",Information Technology,Information Technology,30.0,39.0,9.0
2026-07-16,DE,DEERE & COMPANY,Industrials,Industrials,21.0,-2.0,-23.0
2026-07-16,DECK,DECKERS OUTDOOR ,Consumer Discretionary,Consumer Discretionary,-33.0,-19.0,14.0
2026-07-16,DELL,DELL TECHNOLOGIES INC.,Information Technology,Information Technology,-11.0,28.0,39.0
2026-07-16,DG,DOLLAR GENERAL ,Consumer Staples,Consumer Staples,16.0,-41.0,-57.0
2026-07-16,DGX,QUEST DIAGNOSTICS INC.,Health Care,Health Care,27.0,-3.0,-30.0
2026-07-16,DHI,"D.R. HORTON, INC.",Consumer Discretionary,Consumer Discretionary,27.0,-26.0,-53.0
2026-07-16,DHR,DANAHER ,Health Care,Health Care,10.0,-53.0,-63.0
2026-07-16,DHT,"DHT HOLDINGS, INC.",,MR Discretion,46.0,59.0,13.0
2026-07-16,DIA,SPDR DOW JONES INDUS AVG,,Sector & Style ETFs,13.0,-14.0,-27.0
2026-07-16,DIS,THE WALT DISNEY COMPANY,Communication Services,Communication Services,-61.0,-40.0,21.0
2026-07-16,DJI,DOW JONES INDUSTRIAL AVG INDEX,,Indices,16.0,-18.0,-34.0
2026-07-16,DLR,"DIGITAL REALTY TRUST, INC.",Real Estate,Real Estate,-25.0,-10.0,15.0
2026-07-16,DLTR,"DOLLAR TREE, INC.",Consumer Staples,Consumer Staples,-23.0,-43.0,-20.0
2026-07-16,DOC,"HEALTHDOC PROPERTIES, INC.",Real Estate,Real Estate,-3.0,-48.0,-45.0
2026-07-16,DOV,DOVER ,Industrials,Industrials,73.0,26.0,-47.0
2026-07-16,DOW,DOW INC.,Materials,Materials,82.0,84.0,2.0
2026-07-16,DPZ,"DOMINO'S PIZZA, INC.",Consumer Discretionary,Consumer Discretionary,-16.0,-28.0,-12.0
2026-07-16,DRI,"DARDEN RESTAURANTS, INC.",Consumer Discretionary,Consumer Discretionary,-31.0,-1.0,30.0
2026-07-16,DTE,DTE ENERGY COMPANY,Utilities,Utilities,97.0,6.0,-91.0
2026-07-16,DUK,DUKE ENERGY ,Utilities,Utilities,65.0,3.0,-62.0
2026-07-16,DVA,DAVITA INC.,Health Care,Health Care,41.0,19.0,-22.0
2026-07-16,DVN,DEVON ENERGY ,Energy,Energy,54.0,53.0,-1.0
2026-07-16,DXCM,"DEXCOM, INC.",Health Care,Health Care,-47.0,4.0,51.0
2026-07-16,DXY,US DOLLAR INDEX,USD,Indices,96.0,3.0,-93.0
2026-07-16,EA,ELECTRONIC ARTS INC.,Communication Services,Communication Services,14.0,3.0,-11.0
2026-07-16,EBAY,EBAY INC.,Consumer Discretionary,Consumer Discretionary,-55.0,7.0,62.0
2026-07-16,EC,ECOPETROL SA,,MR Discretion,-10.0,53.0,63.0
2026-07-16,ECH,ISHARES:MSCI CHILE,,Foreign,-44.0,12.0,56.0
2026-07-16,ECL,ECOLAB INC.,Materials,Materials,13.0,-47.0,-60.0
2026-07-16,ED,"CONSOLIDATED EDISON, INC.",Utilities,Utilities,25.0,-31.0,-56.0
2026-07-16,EDEN,ISHARES:MSCI DENMARK,,Foreign,-22.0,-61.0,-39.0
2026-07-16,EDV,VANGUARD EXT DUR T;ETF,Bonds,Bonds,14.0,7.0,-7.0
2026-07-16,EFNL,ISHARES:MSCI FINLAND,,Foreign,-9.0,14.0,23.0
2026-07-16,EFX,EQUIFAX INC.,Industrials,Industrials,-55.0,-68.0,-13.0
2026-07-16,EG,"EVEREST GROUP, LTD.",Financials,Financials,-49.0,-85.0,-36.0
2026-07-16,EIDO,ISHARES:MSCI INDONESIA,,Foreign,-64.0,-27.0,37.0
2026-07-16,EIRL,ISHARES:MSCI IRELAND,,Foreign,-30.0,-48.0,-18.0
2026-07-16,EIS,ISHARES:MSCI ISRAEL,,Foreign,31.0,31.0,0.0
2026-07-16,EIX,EDISON INTERNATIONAL,Utilities,Utilities,29.0,-37.0,-66.0
2026-07-16,EL,THE ESTEE LAUDER COMPANIES INC.,Consumer Staples,Consumer Staples,-39.0,12.0,51.0
2026-07-16,ELV,"ELEVANCE HEALTH, INC.",Health Care,Health Care,-12.0,23.0,35.0
2026-07-16,EME,"EMCOR GROUP, INC.",Industrials,Industrials,-31.0,-20.0,11.0
2026-07-16,EMR,EMERSON ELECTRIC CO.,Industrials,Industrials,19.0,46.0,27.0
2026-07-16,ENZL,ISHARES:MSCI NEW ZLND,,Foreign,-34.0,23.0,57.0
2026-07-16,EOG,"EOG RESOURCES, INC.",Energy,Energy,-30.0,-2.0,28.0
2026-07-16,EPAM,"EPAM SYSTEMS, INC.",Information Technology,Information Technology,30.0,38.0,8.0
2026-07-16,EPHE,ISHARES:MSCI PHILIPPINES,,Foreign,-11.0,-1.0,10.0
2026-07-16,EPOL,ISHARES:MSCI POLAND,,Foreign,-76.0,-5.0,71.0
2026-07-16,EPU,ISHARES:MSCI PERU,,Foreign,-50.0,-17.0,33.0
2026-07-16,EQIX,"EQUINIX, INC.",Real Estate,Real Estate,-16.0,-9.0,7.0
2026-07-16,EQR,EQUITY RESIDENTIAL,Real Estate,Real Estate,-15.0,-79.0,-64.0
2026-07-16,EQT,EQT ,Energy,Energy,-7.0,7.0,14.0
2026-07-16,ERIE,ERIE INDEMNITY COMPANY,Financials,Financials,-3.0,-63.0,-60.0
2026-07-16,ES,EVERSOURCE ENERGY,Utilities,Utilities,-35.0,-51.0,-16.0
2026-07-16,ES=F,E-MINI S&P 500 FUTURES,,Futures,-17.0,-9.0,8.0
2026-07-16,ESS,"ESSEX PROPERTY TRUST, INC.",Real Estate,Real Estate,-10.0,-57.0,-47.0
2026-07-16,ETN,EATON  PUBLIC LIMITED COMPANY,Industrials,Industrials,17.0,-1.0,-18.0
2026-07-16,ETR,ENTERGY ,Utilities,Utilities,71.0,26.0,-45.0
2026-07-16,EVRG,"EVERGY, INC.",Utilities,Utilities,116.0,44.0,-72.0
2026-07-16,EW,EDWARDS LIFESCIENCES ,Health Care,Health Care,25.0,5.0,-20.0
