Date,Ticker,Ticker_name,Exposure,Category,Sharpe_Rank_mtd_change,current_Sharpe_Rank,previous_Sharpe_Rank
2026-06-29,DXY,US DOLLAR INDEX,USD,Indices,20.6,95.0,74.4
2026-06-29,EA,ELECTRONIC ARTS INC.,Communication Services,Communication Services,64.7,88.7,24.0
2026-06-29,EBAY,EBAY INC.,Consumer Discretionary,Consumer Discretionary,-2.8,46.6,49.4
2026-06-29,EC,ECOPETROL SA,,MR Discretion,-12.7,38.3,51.0
2026-06-29,ECH,ISHARES:MSCI CHILE,,Foreign,-20.9,21.4,42.3
2026-06-29,ECL,ECOLAB INC.,Materials,Materials,48.0,83.1,35.1
2026-06-29,ED,"CONSOLIDATED EDISON, INC.",Utilities,Utilities,78.2,88.7,10.5
2026-06-29,EDEN,ISHARES:MSCI DENMARK,,Foreign,-21.2,35.3,56.5
2026-06-29,EDV,VANGUARD EXT DUR T;ETF,Bonds,Bonds,22.6,90.3,67.7
2026-06-29,EFNL,ISHARES:MSCI FINLAND,,Foreign,-42.8,4.2,47.0
2026-06-29,EFX,EQUIFAX INC.,Industrials,Industrials,14.3,51.4,37.1
2026-06-29,EG,"EVEREST GROUP, LTD.",Financials,Financials,92.8,94.6,1.8
2026-06-29,EIDO,ISHARES:MSCI INDONESIA,,Foreign,34.9,38.3,3.4
2026-06-29,EIRL,ISHARES:MSCI IRELAND,,Foreign,16.9,75.4,58.5
2026-06-29,EIS,ISHARES:MSCI ISRAEL,,Foreign,-59.1,2.2,61.3
2026-06-29,EIX,EDISON INTERNATIONAL,Utilities,Utilities,50.8,91.1,40.3
2026-06-29,EL,THE ESTEE LAUDER COMPANIES INC.,Consumer Staples,Consumer Staples,-53.6,10.9,64.5
2026-06-29,ELV,"ELEVANCE HEALTH, INC.",Health Care,Health Care,-26.6,36.3,62.9
2026-06-29,EME,"EMCOR GROUP, INC.",Industrials,Industrials,21.8,27.6,5.8
2026-06-29,EMR,EMERSON ELECTRIC CO.,Industrials,Industrials,-12.1,37.1,49.2
2026-06-29,ENZL,ISHARES:MSCI NEW ZLND,,Foreign,-78.2,9.7,87.9
2026-06-29,EOG,"EOG RESOURCES, INC.",Energy,Energy,19.9,42.7,22.8
2026-06-29,EPAM,"EPAM SYSTEMS, INC.",Information Technology,Information Technology,-19.8,16.5,36.3
2026-06-29,EPHE,ISHARES:MSCI PHILIPPINES,,Foreign,29.4,76.0,46.6
2026-06-29,EPOL,ISHARES:MSCI POLAND,,Foreign,-57.1,11.7,68.8
2026-06-29,EPU,ISHARES:MSCI PERU,,Foreign,-36.9,16.5,53.4
2026-06-29,EQIX,"EQUINIX, INC.",Real Estate,Real Estate,21.8,45.8,24.0
2026-06-29,EQR,EQUITY RESIDENTIAL,Real Estate,Real Estate,26.5,82.3,55.8
2026-06-29,EQT,EQT ,Energy,Energy,13.1,20.4,7.3
2026-06-29,ERIE,ERIE INDEMNITY COMPANY,Financials,Financials,44.0,99.4,55.4
2026-06-29,ES,EVERSOURCE ENERGY,Utilities,Utilities,69.8,87.5,17.7
2026-06-29,ES=F,E-MINI S&P 500 FUTURES,,Futures,-62.7,19.6,82.3
2026-06-29,ESS,"ESSEX PROPERTY TRUST, INC.",Real Estate,Real Estate,10.7,98.2,87.5
2026-06-29,ETN,EATON  PUBLIC LIMITED COMPANY,Industrials,Industrials,29.0,50.2,21.2
2026-06-29,ETR,ENTERGY ,Utilities,Utilities,72.6,72.8,0.2
2026-06-29,EVRG,"EVERGY, INC.",Utilities,Utilities,46.1,78.0,31.9
2026-06-29,EW,EDWARDS LIFESCIENCES ,Health Care,Health Care,15.7,85.1,69.4
2026-06-29,EWA,ISHARES:MSCI AUSTRALIA,,Foreign,-17.5,12.9,30.4
2026-06-29,EWC,ISHARES:MSCI CANADA,,Foreign,-13.8,5.8,19.6
2026-06-29,EWD,ISHARES:MSCI SWEDEN,,Foreign,-33.8,9.3,43.1
2026-06-29,EWG,ISHARES:MSCI GERMANY,,Foreign,-52.0,11.7,63.7
2026-06-29,EWH,ISHARES:MSCI HONG KONG,,Foreign,-6.7,5.0,11.7
2026-06-29,EWI,ISHARES:MSCI ITALY,,Foreign,-28.6,20.4,49.0
2026-06-29,EWJ,ISHARES:MSCI JAPAN,,Foreign,-43.7,33.1,76.8
2026-06-29,EWK,ISHARES:MSCI BELGIUM,,Foreign,-37.9,29.0,66.9
2026-06-29,EWL,ISHARES:MSCI SWITZERLAND,,Foreign,-20.6,36.7,57.3
2026-06-29,EWM,ISHARES:MSCI MALAYSIA,,Foreign,0.4,6.9,6.5
2026-06-29,EWN,ISHARES:MSCI NETHERLANDS,,Foreign,-23.8,52.6,76.4
2026-06-29,EWO,ISHARES:MSCI AUSTRIA,,Foreign,-20.3,34.3,54.6
2026-06-29,EWP,ISHARES:MSCI SPAIN,,Foreign,11.3,42.5,31.2
2026-06-29,EWQ,ISHARES:MSCI FRANCE,,Foreign,-30.1,18.5,48.6
2026-06-29,EWS,ISHARES:MSCI SINGAPORE,,Foreign,-5.6,47.0,52.6
2026-06-29,EWT,ISHARES:MSCI TAIWAN,,Foreign,-45.3,31.5,76.8
2026-06-29,EWU,ISHARES:MSCI UK,,Foreign,-10.7,15.3,26.0
2026-06-29,EWW,ISHARES:MSCI MEXICO,,Foreign,-37.7,15.3,53.0
2026-06-29,EWY,ISHARES:MSCI S KOREA,,Foreign,-43.2,14.5,57.7
2026-06-29,EWZ,ISHARES:MSCI BRAZIL,,Foreign,19.0,22.4,3.4
2026-06-29,EXC,EXELON ,Utilities,Utilities,19.0,71.2,52.2
2026-06-29,EXE,EXPAND ENERGY ,Energy,Energy,9.8,18.5,8.7
