Date,Ticker,Ticker_name,Exposure,Category,model_score_wtd_change,current_model_score,previous_model_score
2026-05-19,GNK,GENCO SHIPPING & TRADING LIMITED,,MR Discretion,-6.0,2.0,8.0
2026-05-19,GNRC,GENERAC HOLDINGS INC.,Industrials,Industrials,24.0,1.0,-23.0
2026-05-19,GOOGL,ALPHABET INC.,Communication Services,Communication Services,19.0,8.0,-11.0
2026-05-19,GPC,GENUINE PARTS COMPANY,Consumer Discretionary,Consumer Discretionary,23.0,34.0,11.0
2026-05-19,GPN,GLOBAL PAYMENTS INC.,Financials,Financials,11.0,20.0,9.0
2026-05-19,GREK,GLBL X MSCI GREECE,,Foreign,-10.0,26.0,36.0
2026-05-19,GRMN,GARMIN LTD,Consumer Discretionary,Consumer Discretionary,82.0,44.0,-38.0
2026-05-19,GS,"THE GOLDMAN SACHS GROUP, INC.",Financials,Financials,24.0,36.0,12.0
2026-05-19,GWW,"W.W. GRAINGER, INC.",Industrials,Industrials,-1.0,-48.0,-47.0
2026-05-19,HAL,HALLIBURTON COMPANY,Energy,Energy,6.0,-8.0,-14.0
2026-05-19,HAS,"HASBRO, INC.",Consumer Discretionary,Consumer Discretionary,40.0,26.0,-14.0
2026-05-19,HBAN,HUNTINGTON BANCSHARES INC.,Financials,Financials,23.0,48.0,25.0
2026-05-19,HCA,"HCA HEALTHCARE, INC.",Health Care,Health Care,-9.0,-16.0,-7.0
2026-05-19,HD,"THE HOME DEPOT, INC.",Consumer Discretionary,Consumer Discretionary,23.0,12.0,-11.0
2026-05-19,HIG,THE HARTFORD FINANCIAL SERVICES GROUP,Financials,Financials,7.0,-15.0,-22.0
2026-05-19,HII,"HUNTINGTON INGALLS INDUSTRIES, INC.",Industrials,Industrials,0.0,7.0,7.0
2026-05-19,HLT,HILTON WORLDWIDE HOLDINGS INC.,Consumer Discretionary,Consumer Discretionary,43.0,60.0,17.0
2026-05-19,HLX,"HELIX ENERGY SOLUTIONS GROUP, INC.",,MR Discretion,-31.0,-45.0,-14.0
2026-05-19,HON,HONEYWELL INTERNATIONAL INC.,Industrials,Industrials,2.0,35.0,33.0
