Date,Ticker,monthly_range,monthly_range_avg,monthly_range_hi,monthly_range_lo
2025-08-01,ROL,3.2,5.8,8.3,3.3
2025-09-01,ROL,4.5,5.8,8.3,3.3
2025-10-01,ROL,5.3,5.8,8.3,3.3
2025-11-01,ROL,5.0,5.8,8.3,3.3
2025-12-01,ROL,4.1,5.8,8.3,3.3
2026-01-01,ROL,5.9,5.8,8.3,3.3
2026-02-01,ROL,10.8,5.8,8.3,3.3
2026-03-01,ROL,8.9,5.8,8.3,3.3
2026-04-01,ROL,4.3,5.8,8.3,3.3
2026-05-01,ROL,9.4,5.8,8.3,3.3
2026-06-01,ROL,7.0,5.8,8.3,3.3
2026-07-01,ROL,9.8,5.8,8.3,3.3
2025-05-01,ROP,27.5,43.1,66.5,19.6
2025-06-01,ROP,21.5,43.1,66.5,19.6
2025-07-01,ROP,40.1,43.1,66.5,19.6
2025-08-01,ROP,37.1,43.1,66.5,19.6
2025-09-01,ROP,37.8,43.1,66.5,19.6
2025-10-01,ROP,85.9,43.1,66.5,19.6
2025-11-01,ROP,18.4,43.1,66.5,19.6
2025-12-01,ROP,15.6,43.1,66.5,19.6
2026-01-01,ROP,99.1,43.1,66.5,19.6
2026-02-01,ROP,62.5,43.1,66.5,19.6
2026-03-01,ROP,28.9,43.1,66.5,19.6
2026-04-01,ROP,41.9,43.1,66.5,19.6
2026-05-01,ROP,57.6,43.1,66.5,19.6
2026-06-01,ROP,27.0,43.1,66.5,19.6
2026-07-01,ROP,45.3,43.1,66.5,19.6
2025-05-01,ROST,26.4,20.5,28.3,12.6
2025-06-01,ROST,20.1,20.5,28.3,12.6
2025-07-01,ROST,15.1,20.5,28.3,12.6
2025-08-01,ROST,17.5,20.5,28.3,12.6
2025-09-01,ROST,10.2,20.5,28.3,12.6
2025-10-01,ROST,14.5,20.5,28.3,12.6
2025-11-01,ROST,20.5,20.5,28.3,12.6
2025-12-01,ROST,11.0,20.5,28.3,12.6
2026-01-01,ROST,15.9,20.5,28.3,12.6
2026-02-01,ROST,18.6,20.5,28.3,12.6
2026-03-01,ROST,23.4,20.5,28.3,12.6
2026-04-01,ROST,15.3,20.5,28.3,12.6
2026-05-01,ROST,29.2,20.5,28.3,12.6
2026-06-01,ROST,36.9,20.5,28.3,12.6
2026-07-01,ROST,35.2,20.5,28.3,12.6
2025-05-01,RSG,22.6,17.7,22.3,13.1
2025-06-01,RSG,16.2,17.7,22.3,13.1
2025-07-01,RSG,16.4,17.7,22.3,13.1
2025-08-01,RSG,9.4,17.7,22.3,13.1
2025-09-01,RSG,10.6,17.7,22.3,13.1
2025-10-01,RSG,23.8,17.7,22.3,13.1
2025-11-01,RSG,18.6,17.7,22.3,13.1
2025-12-01,RSG,12.9,17.7,22.3,13.1
2026-01-01,RSG,12.1,17.7,22.3,13.1
2026-02-01,RSG,19.8,17.7,22.3,13.1
2026-03-01,RSG,22.7,17.7,22.3,13.1
2026-04-01,RSG,20.7,17.7,22.3,13.1
2026-05-01,RSG,22.5,17.7,22.3,13.1
2026-06-01,RSG,19.9,17.7,22.3,13.1
2026-07-01,RSG,16.5,17.7,22.3,13.1
2025-05-01,RSP,11.7,9.2,12.7,5.7
2025-06-01,RSP,7.8,9.2,12.7,5.7
2025-07-01,RSP,7.3,9.2,12.7,5.7
2025-08-01,RSP,10.1,9.2,12.7,5.7
2025-09-01,RSP,4.6,9.2,12.7,5.7
2025-10-01,RSP,7.2,9.2,12.7,5.7
2025-11-01,RSP,9.7,9.2,12.7,5.7
2025-12-01,RSP,5.9,9.2,12.7,5.7
2026-01-01,RSP,9.7,9.2,12.7,5.7
2026-02-01,RSP,8.3,9.2,12.7,5.7
2026-03-01,RSP,17.9,9.2,12.7,5.7
2026-04-01,RSP,15.0,9.2,12.7,5.7
2026-05-01,RSP,8.6,9.2,12.7,5.7
2026-06-01,RSP,8.6,9.2,12.7,5.7
2026-07-01,RSP,5.1,9.2,12.7,5.7
2025-05-01,RTX,13.4,19.6,27.1,12.0
2025-06-01,RTX,13.8,19.6,27.1,12.0
2025-07-01,RTX,16.1,19.6,27.1,12.0
2025-08-01,RTX,8.6,19.6,27.1,12.0
2025-09-01,RTX,17.7,19.6,27.1,12.0
2025-10-01,RTX,25.7,19.6,27.1,12.0
2025-11-01,RTX,11.4,19.6,27.1,12.0
2025-12-01,RTX,21.3,19.6,27.1,12.0
2026-01-01,RTX,23.2,19.6,27.1,12.0
2026-02-01,RTX,14.1,19.6,27.1,12.0
2026-03-01,RTX,28.9,19.6,27.1,12.0
2026-04-01,RTX,33.7,19.6,27.1,12.0
2026-05-01,RTX,10.8,19.6,27.1,12.0
2026-06-01,RTX,21.6,19.6,27.1,12.0
2026-07-01,RTX,31.4,19.6,27.1,12.0
2025-05-01,RUT,154.5,191.7,255.6,127.8
2025-06-01,RUT,145.6,191.7,255.6,127.8
2025-07-01,RUT,122.6,191.7,255.6,127.8
2025-08-01,RUT,240.6,191.7,255.6,127.8
2025-09-01,RUT,158.9,191.7,255.6,127.8
2025-10-01,RUT,147.8,191.7,255.6,127.8
2025-11-01,RUT,199.5,191.7,255.6,127.8
2025-12-01,RUT,131.0,191.7,255.6,127.8
2026-01-01,RUT,253.5,191.7,255.6,127.8
2026-02-01,RUT,137.1,191.7,255.6,127.8
2026-03-01,RUT,253.6,191.7,255.6,127.8
2026-04-01,RUT,349.2,191.7,255.6,127.8
2026-05-01,RUT,219.8,191.7,255.6,127.8
2026-06-01,RUT,238.3,191.7,255.6,127.8
2026-07-01,RUT,122.3,191.7,255.6,127.8
2025-05-01,RVTY,10.8,14.7,18.6,10.7
2025-06-01,RVTY,13.6,14.7,18.6,10.7
2025-07-01,RVTY,16.7,14.7,18.6,10.7
2025-08-01,RVTY,9.6,14.7,18.6,10.7
2025-09-01,RVTY,8.3,14.7,18.6,10.7
2025-10-01,RVTY,12.9,14.7,18.6,10.7
2025-11-01,RVTY,18.0,14.7,18.6,10.7
2025-12-01,RVTY,9.4,14.7,18.6,10.7
2026-01-01,RVTY,21.7,14.7,18.6,10.7
2026-02-01,RVTY,15.6,14.7,18.6,10.7
2026-03-01,RVTY,15.7,14.7,18.6,10.7
2026-04-01,RVTY,15.9,14.7,18.6,10.7
2026-05-01,RVTY,20.0,14.7,18.6,10.7
2026-06-01,RVTY,19.3,14.7,18.6,10.7
2026-07-01,RVTY,13.6,14.7,18.6,10.7
2025-05-01,SATS,7.7,21.4,32.1,10.7
2025-06-01,SATS,14.3,21.4,32.1,10.7
2025-07-01,SATS,6.7,21.4,32.1,10.7
2025-08-01,SATS,35.8,21.4,32.1,10.7
2025-09-01,SATS,25.0,21.4,32.1,10.7
2025-10-01,SATS,8.9,21.4,32.1,10.7
2025-11-01,SATS,10.3,21.4,32.1,10.7
2025-12-01,SATS,40.6,21.4,32.1,10.7
2026-01-01,SATS,24.7,21.4,32.1,10.7
2026-02-01,SATS,18.4,21.4,32.1,10.7
2026-03-01,SATS,20.5,21.4,32.1,10.7
2026-04-01,SATS,21.1,21.4,32.1,10.7
2026-05-01,SATS,30.7,21.4,32.1,10.7
2026-06-01,SATS,36.6,21.4,32.1,10.7
2026-07-01,SATS,18.9,21.4,32.1,10.7
2025-05-01,SBAC,24.3,25.2,37.0,13.4
2025-06-01,SBAC,15.0,25.2,37.0,13.4
2025-07-01,SBAC,20.1,25.2,37.0,13.4
2025-08-01,SBAC,31.1,25.2,37.0,13.4
2025-09-01,SBAC,19.4,25.2,37.0,13.4
2025-10-01,SBAC,14.5,25.2,37.0,13.4
2025-11-01,SBAC,18.5,25.2,37.0,13.4
2025-12-01,SBAC,10.4,25.2,37.0,13.4
2026-01-01,SBAC,14.8,25.2,37.0,13.4
2026-02-01,SBAC,27.2,25.2,37.0,13.4
2026-03-01,SBAC,44.0,25.2,37.0,13.4
2026-04-01,SBAC,54.1,25.2,37.0,13.4
2026-05-01,SBAC,25.6,25.2,37.0,13.4
2026-06-01,SBAC,36.7,25.2,37.0,13.4
2026-07-01,SBAC,21.2,25.2,37.0,13.4
2025-05-01,SBLK,2.4,3.0,4.3,1.8
2025-06-01,SBLK,1.8,3.0,4.3,1.8
2025-07-01,SBLK,2.4,3.0,4.3,1.8
2025-08-01,SBLK,1.3,3.0,4.3,1.8
2025-09-01,SBLK,1.7,3.0,4.3,1.8
2025-10-01,SBLK,2.2,3.0,4.3,1.8
2025-11-01,SBLK,2.2,3.0,4.3,1.8
2025-12-01,SBLK,3.0,3.0,4.3,1.8
2026-01-01,SBLK,4.2,3.0,4.3,1.8
2026-02-01,SBLK,4.6,3.0,4.3,1.8
2026-03-01,SBLK,5.7,3.0,4.3,1.8
2026-04-01,SBLK,2.3,3.0,4.3,1.8
2026-05-01,SBLK,3.6,3.0,4.3,1.8
2026-06-01,SBLK,4.6,3.0,4.3,1.8
2026-07-01,SBLK,3.6,3.0,4.3,1.8
2025-05-01,SBUX,7.6,11.8,15.8,7.7
2025-06-01,SBUX,12.7,11.8,15.8,7.7
2025-07-01,SBUX,10.5,11.8,15.8,7.7
2025-08-01,SBUX,9.4,11.8,15.8,7.7
2025-09-01,SBUX,8.8,11.8,15.8,7.7
2025-10-01,SBUX,9.1,11.8,15.8,7.7
2025-11-01,SBUX,11.1,11.8,15.8,7.7
2025-12-01,SBUX,8.6,11.8,15.8,7.7
2026-01-01,SBUX,21.8,11.8,15.8,7.7
2026-02-01,SBUX,10.6,11.8,15.8,7.7
