Date,Ticker,Ticker_name,Exposure,Category,Sharpe_Rank_wtd_change,current_Sharpe_Rank,previous_Sharpe_Rank
2026-07-16,INTC,INTEL ,Information Technology,Information Technology,-23.5,7.7,31.2
2026-07-16,INTU,INTUIT INC.,Information Technology,Information Technology,23.4,84.3,60.9
2026-07-16,INVH,INVITATION HOMES INC.,Real Estate,Real Estate,29.0,87.9,58.9
2026-07-16,IP,INTERNATIONAL PAPER COMPANY,Materials,Materials,-23.1,69.6,92.7
2026-07-16,IQV,IQVIA HOLDINGS INC,Health Care,Health Care,6.7,95.8,89.1
2026-07-16,IR,INGERSOLL RAND INC.,Industrials,Industrials,-11.9,79.2,91.1
2026-07-16,IRM,IRON MOUNTAIN INC.,Real Estate,Real Estate,-13.5,28.8,42.3
2026-07-16,ISRG,"INTUITIVE SURGICAL, INC.",Health Care,Health Care,-4.0,58.1,62.1
2026-07-16,IT,"GARTNER, INC.",Information Technology,Information Technology,37.3,66.5,29.2
2026-07-16,ITW,ILLINOIS TOOL WORKS INC.,Industrials,Industrials,-4.0,81.5,85.5
2026-07-16,IVZ,INVESCO LTD.,Financials,Financials,-6.5,41.5,48.0
2026-07-16,IWD,ISHARES:RUSS 1000 VL ETF,,Sector & Style ETFs,-24.6,60.5,85.1
2026-07-16,IWF,ISHARES:RUSS 1000 GR ETF,,Sector & Style ETFs,-33.7,28.8,62.5
2026-07-16,IWM,ISHARES:RUSS 2000 ETF,,Sector & Style ETFs,-36.9,38.3,75.2
2026-07-16,J,JACOBS SOLUTIONS INC.,Industrials,Industrials,17.9,80.8,62.9
2026-07-16,JBHT,"J. B. HUNT TRANSPORT SERVICES, INC.",Industrials,Industrials,19.4,48.2,28.8
2026-07-16,JBL,JABIL INC.,Information Technology,Information Technology,-15.5,0.2,15.7
2026-07-16,JCI,JOHNSON CONTROLS INTERNATIONAL PLC,Industrials,Industrials,-21.8,26.8,48.6
2026-07-16,JKHY,"JACK HENRY & ASSOCIATES, INC.",Financials,Financials,-1.6,91.9,93.5
2026-07-16,JNJ,JOHNSON & JOHNSON,Health Care,Health Care,-4.4,48.6,53.0
2026-07-16,JNK,SPDR BBG HIGH YIELD BD,,Bonds,-32.9,26.8,59.7
2026-07-16,JPM,JPMORGAN CHASE & CO.,Financials,Financials,-29.0,60.9,89.9
2026-07-16,KDP,KEURIG DR PEPPER INC.,Consumer Staples,Consumer Staples,-6.7,37.5,44.2
2026-07-16,KEY,KEYCORP,Financials,Financials,-0.4,67.3,67.7
2026-07-16,KEYS,"KEYSIGHT TECHNOLOGIES, INC.",Information Technology,Information Technology,-18.8,5.0,23.8
2026-07-16,KHC,THE KRAFT HEINZ COMPANY,Consumer Staples,Consumer Staples,20.7,92.7,72.0
2026-07-16,KIM,KIMCO REALTY .,Real Estate,Real Estate,36.1,62.1,26.0
2026-07-16,KKR,KKR & CO. INC.,Financials,Financials,6.7,73.2,66.5
2026-07-16,KLAC,KLA ,Information Technology,Information Technology,-28.0,12.1,40.1
2026-07-16,KMB,KIMBERLY-CLARK ,Consumer Staples,Consumer Staples,-15.9,76.0,91.9
2026-07-16,KMI,"KINDER MORGAN, INC.",Energy,Energy,17.4,70.0,52.6
2026-07-16,KO,THE COCA-COLA COMPANY,Consumer Staples,Consumer Staples,36.3,79.8,43.5
2026-07-16,KR,THE KROGER CO.,Consumer Staples,Consumer Staples,-9.9,29.2,39.1
2026-07-16,KVUE,KENVUE INC.,Consumer Staples,Consumer Staples,-22.6,65.7,88.3
2026-07-16,L,LOEWS ,Financials,Financials,-15.8,67.3,83.1
2026-07-16,LDOS,"LEIDOS HOLDINGS, INC.",Industrials,Industrials,24.2,42.7,18.5
2026-07-16,LEN,LENNAR ,Consumer Discretionary,Consumer Discretionary,7.1,37.5,30.4
2026-07-16,LH,LABORATORY  OF AMERICA HOLDINGS,Health Care,Health Care,13.5,81.2,67.7
2026-07-16,LHX,"L3HARRIS TECHNOLOGIES, INC.",Industrials,Industrials,-17.5,8.5,26.0
2026-07-16,LII,LENNOX INTERNATIONAL INC.,Industrials,Industrials,-8.1,73.4,81.5
2026-07-16,LIN,LINDE PUBLIC LIMITED COMPANY,Materials,Materials,-30.1,42.3,72.4
2026-07-16,LITE,LUMENTUM HOLDINGS INC.,Information Technology,Information Technology,-5.9,2.6,8.5
2026-07-16,LLY,ELI LILLY AND COMPANY,Health Care,Health Care,-1.3,55.8,57.1
2026-07-16,LMT,LOCKHEED MARTIN ,Industrials,Industrials,-5.9,39.1,45.0
2026-07-16,LNT,ALLIANT ENERGY ,Utilities,Utilities,-19.0,53.0,72.0
2026-07-16,LOW,"LOWE'S COMPANIES, INC.",Consumer Discretionary,Consumer Discretionary,-2.0,36.7,38.7
2026-07-16,LQD,ISHARES:IBOXX $IG CORP,Bonds,Bonds,-14.7,10.1,24.8
2026-07-16,LRCX,LAM RESEARCH ,Information Technology,Information Technology,-26.6,4.2,30.8
2026-07-16,LULU,LULULEMON ATHLETICA INC.,Consumer Discretionary,Consumer Discretionary,10.0,81.2,71.2
2026-07-16,LUV,SOUTHWEST AIRLINES CO.,Industrials,Industrials,-24.6,56.9,81.5
2026-07-16,LVS,LAS VEGAS SANDS CORP.,Consumer Discretionary,Consumer Discretionary,11.1,16.1,5.0
2026-07-16,LYB,LYONDELLBASELL INDUSTRIES NV,Materials,Materials,16.7,26.8,10.1
2026-07-16,LYV,"LIVE NATION ENTERTAINMENT, INC.",Communication Services,Communication Services,-25.4,57.7,83.1
2026-07-16,MA,MASTERCARD INC..,Financials,Financials,5.1,97.8,92.7
2026-07-16,MAA,"MID-AMERICA APARTMENT COMMUNITIES, INC.",Real Estate,Real Estate,11.9,43.8,31.9
2026-07-16,MAR,"MARRIOTT INTERNATIONAL, INC.",Consumer Discretionary,Consumer Discretionary,-10.9,5.8,16.7
2026-07-16,MAS,MASCO ,Industrials,Industrials,-11.3,63.1,74.4
2026-07-16,MCD,MCDONALD'S ,Consumer Discretionary,Consumer Discretionary,-2.8,33.1,35.9
2026-07-16,MCHI,ISHARES:MSCI CHINA,,Foreign,15.0,56.9,41.9
2026-07-16,MCHP,MICROCHIP TECHNOLOGY INC.,Information Technology,Information Technology,-31.8,19.6,51.4
2026-07-16,MCK,MCKESSON ,Health Care,Health Care,13.9,71.2,57.3
2026-07-16,MCO,MOODY'S ,Financials,Financials,2.4,89.1,86.7
2026-07-16,MDLZ,"MONDELEZ INTERNATIONAL, INC.",Consumer Staples,Consumer Staples,36.5,54.2,17.7
2026-07-16,MDT,MEDTRONIC PUBLIC LIMITED COMPANY,Health Care,Health Care,-8.8,59.7,68.5
2026-07-16,MDY,SPDR S&P MIDCAP 400 ETF,,Sector & Style ETFs,-31.3,26.0,57.3
2026-07-16,MET,"METLIFE, INC.",Financials,Financials,4.2,78.2,74.0
2026-07-16,META,"META PLATFORMS, INC.",Communication Services,Communication Services,-9.9,85.9,95.8
2026-07-16,MGM,MGM RESORTS INTERNATIONAL,Consumer Discretionary,Consumer Discretionary,-12.7,32.3,45.0
2026-07-16,MKC,"MCCORMICK & COMPANY, INC.",Consumer Staples,Consumer Staples,9.9,94.6,84.7
2026-07-16,MLM,"MARTIN MARIETTA MATERIALS, INC.",Materials,Materials,-33.3,24.8,58.1
2026-07-16,MMM,3M COMPANY,Industrials,Industrials,-2.0,43.8,45.8
2026-07-16,MNST,MONSTER BEVERAGE ,Consumer Staples,Consumer Staples,1.6,89.9,88.3
2026-07-16,MO,"ALTRIA GROUP, INC.",Consumer Staples,Consumer Staples,31.8,64.5,32.7
2026-07-16,MOS,THE MOSAIC COMPANY,Materials,Materials,-5.6,75.2,80.8
2026-07-16,MP,MP MATERIALS CORP,,MR Discretion,-39.7,3.0,42.7
2026-07-16,MPC,MARATHON PETROLEUM ,Energy,Energy,32.5,94.6,62.1
