Date,Ticker,Ticker_name,Exposure,Category,model_score
2026-05-26,ROKU,"ROKU, INC.",,MR Discretion,9.0
2026-05-26,ROL,"ROLLINS, INC.",Industrials,Industrials,31.0
2026-05-26,ROP,"ROPER TECHNOLOGIES, INC.",Information Technology,Information Technology,23.0
2026-05-26,ROST,"ROSS STORES, INC.",Consumer Discretionary,Consumer Discretionary,3.0
2026-05-26,RSG,"REPUBLIC SERVICES, INC.",Industrials,Industrials,-79.0
2026-05-26,RSP,INVESCO S&P500 EWGHT,,Sector & Style ETFs,-19.0
2026-05-26,RTX,RTX ,Industrials,Industrials,48.0
2026-05-26,RUT,RUSSELL 2000 INDEX,,Indices,-1.0
2026-05-26,RVTY,"REVVITY, INC.",Health Care,Health Care,-51.0
2026-05-26,SATS,ECHOSTAR CORPORATION,Communication Services,Communication Services,52.0
2026-05-26,SBAC,SBA COMMUNICATIONS ,Real Estate,Real Estate,6.0
2026-05-26,SBLK,STAR BULK CARRIERS CORP.,,MR Discretion,-75.0
2026-05-26,SBUX,STARBUCKS ,Consumer Discretionary,Consumer Discretionary,-16.0
2026-05-26,SCHP,SCHWAB STR:US TIPS,,Bonds,52.0
2026-05-26,SCHW,THE CHARLES SCHWAB ,Financials,Financials,-5.0
2026-05-26,SD,"SANDRIDGE ENERGY, INC.",,MR Discretion,20.0
2026-05-26,SDY,SPDR S&P DIVIDEND,,Sector & Style ETFs,-10.0
2026-05-26,SHW,THE SHERWIN-WILLIAMS COMPANY,Materials,Materials,22.0
2026-05-26,SHY,ISHARES:1-3 TRS BD ETF,Bonds,Bonds,-21.0
2026-05-26,SILJ,ETFMG PRIME JR SILVR MNR,,Commodities,21.0
2026-05-26,SJM,THE J. M. SMUCKER COMPANY,Consumer Staples,Consumer Staples,-14.0
2026-05-26,SLB,SCHLUMBERGER N.V.,Energy,Energy,33.0
2026-05-26,SLV,ISHARES:SILVER TRUST,,Commodities,9.0
2026-05-26,SM,SM ENERGY COMPANY,,MR Discretion,-46.0
2026-05-26,SMCI,"SUPER MICRO COMPUTER, INC.",Information Technology,Information Technology,-24.0
2026-05-26,SMH,VANECK:SEMICONDUCTOR,,Sector & Style ETFs,5.0
2026-05-26,SNA,SNAP-ON INC.,Industrials,Industrials,7.0
2026-05-26,SNDK,SANDISK CORPORATION,Information Technology,Information Technology,60.0
2026-05-26,SNPS,"SYNOPSYS, INC.",Information Technology,Information Technology,-32.0
2026-05-26,SO,THE SOUTHERN COMPANY,Utilities,Utilities,6.0
2026-05-26,SOLV,SOLVENTUM ,Health Care,Health Care,-26.0
2026-05-26,SOYB,TEUCRIUM:SOYBEAN,,Commodities,38.0
2026-05-26,SPG,"SIMON PROPERTY GROUP, INC.",Real Estate,Real Estate,-27.0
2026-05-26,SPGI,S&P GLOBAL INC.,Financials,Financials,12.0
2026-05-26,SPHB,INVESCO S&P500 HI BE,,Sector & Style ETFs,-10.0
2026-05-26,SPLV,INVESCO S&P500 LOWVL,,Sector & Style ETFs,-4.0
2026-05-26,SPX,S&P 500 INDEX,,Indices,-31.0
2026-05-26,SPY,SPDR S&P 500 ETF,,Sector & Style ETFs,-23.0
2026-05-26,SRE,SEMPRA,Utilities,Utilities,44.0
2026-05-26,STE,STERIS PUBLIC LIMITED COMPANY,Health Care,Health Care,-28.0
2026-05-26,STIP,ISHARES:0-5 TIPS BD ETF,Bonds,Bonds,20.0
2026-05-26,STLA,STELLANTIS NV,,MR Discretion,-13.0
