Date,Ticker,Ticker_name,Exposure,Category,model_score_qtd_change,current_model_score,previous_model_score
2026-05-28,GM,GENERAL MOTORS COMPANY,Consumer Discretionary,Consumer Discretionary,-73.0,-20.0,53.0
2026-05-28,GNK,GENCO SHIPPING & TRADING LIMITED,,MR Discretion,-21.0,11.0,32.0
2026-05-28,GNRC,GENERAC HOLDINGS INC.,Industrials,Industrials,-51.0,-23.0,28.0
2026-05-28,GOOGL,ALPHABET INC.,Communication Services,Communication Services,-7.0,8.0,15.0
2026-05-28,GPC,GENUINE PARTS COMPANY,Consumer Discretionary,Consumer Discretionary,-39.0,35.0,74.0
2026-05-28,GPN,GLOBAL PAYMENTS INC.,Financials,Financials,-1.0,-2.0,-1.0
2026-05-28,GREK,GLBL X MSCI GREECE,,Foreign,-28.0,-28.0,0.0
2026-05-28,GRMN,GARMIN LTD,Consumer Discretionary,Consumer Discretionary,29.0,21.0,-8.0
2026-05-28,GS,"THE GOLDMAN SACHS GROUP, INC.",Financials,Financials,-102.0,-28.0,74.0
2026-05-28,GWW,"W.W. GRAINGER, INC.",Industrials,Industrials,-66.0,-41.0,25.0
2026-05-28,HAL,HALLIBURTON COMPANY,Energy,Energy,34.0,2.0,-32.0
2026-05-28,HAS,"HASBRO, INC.",Consumer Discretionary,Consumer Discretionary,-12.0,42.0,54.0
2026-05-28,HBAN,HUNTINGTON BANCSHARES INC.,Financials,Financials,-74.0,3.0,77.0
2026-05-28,HCA,"HCA HEALTHCARE, INC.",Health Care,Health Care,20.0,0.0,-20.0
2026-05-28,HD,"THE HOME DEPOT, INC.",Consumer Discretionary,Consumer Discretionary,-27.0,-27.0,0.0
2026-05-28,HIG,THE HARTFORD FINANCIAL SERVICES GROUP,Financials,Financials,-65.0,-13.0,52.0
2026-05-28,HII,"HUNTINGTON INGALLS INDUSTRIES, INC.",Industrials,Industrials,20.0,5.0,-15.0
2026-05-28,HLT,HILTON WORLDWIDE HOLDINGS INC.,Consumer Discretionary,Consumer Discretionary,-84.0,-46.0,38.0
2026-05-28,HLX,"HELIX ENERGY SOLUTIONS GROUP, INC.",,MR Discretion,35.0,11.0,-24.0
2026-05-28,HON,HONEYWELL INTERNATIONAL INC.,Industrials,Industrials,-121.0,-40.0,81.0
2026-05-28,HOOD,"ROBINHOOD MARKETS, INC.",Financials,Financials,2.0,-14.0,-16.0
2026-05-28,HPE,HEWLETT PACKARD ENTERPRISE COMPANY,Information Technology,Information Technology,2.0,-26.0,-28.0
2026-05-28,HPQ,HP INC.,Information Technology,Information Technology,-19.0,-46.0,-27.0
2026-05-28,HRL,HORMEL FOODS ,Consumer Staples,Consumer Staples,-60.0,-14.0,46.0
2026-05-28,HSIC,"HENRY SCHEIN, INC.",Health Care,Health Care,-46.0,-23.0,23.0
2026-05-28,HST,"HOST HOTELS & RESORTS, INC.",Real Estate,Real Estate,-91.0,-34.0,57.0
2026-05-28,HSY,THE HERSHEY COMPANY,Consumer Staples,Consumer Staples,-46.0,-23.0,23.0
2026-05-28,HUBB,HUBBELL INC.,Industrials,Industrials,40.0,27.0,-13.0
2026-05-28,HUM,HUMANA INC.,Health Care,Health Care,-94.0,-49.0,45.0
2026-05-28,HWM,HOWMET AEROSPACE INC.,Industrials,Industrials,-12.0,-22.0,-10.0
2026-05-28,HYD,VANECK:HIGH YIELD MUNI,,Bonds,-69.0,23.0,92.0
2026-05-28,HYG,ISHARES:IBOXX $HY CORP,Bonds,Bonds,-22.0,-19.0,3.0
2026-05-28,IBKR,"INTERACTIVE BROKERS GROUP, INC.",Financials,Financials,33.0,35.0,2.0
2026-05-28,IBM,INTERNATIONAL BUSINESS MACHINES ,Information Technology,Information Technology,-38.0,-41.0,-3.0
2026-05-28,ICE,"INTERCONTINENTAL EXCHANGE, INC.",Financials,Financials,-40.0,-6.0,34.0
2026-05-28,ICL,ICL GROUP LTD,,MR Discretion,-32.0,-37.0,-5.0
2026-05-28,IDXX,"IDEXX LABORATORIES, INC.",Health Care,Health Care,-41.0,-14.0,27.0
2026-05-28,IEF,ISHARES:7-10 TRS BD ETF,Bonds,Bonds,-59.0,3.0,62.0
