Date,Ticker,monthly_volume,monthly_volume_avg,monthly_volume_hi,monthly_volume_lo
2025-10-01,RF,854.7,310.5,483.2,137.9
2025-11-01,RF,333.5,310.5,483.2,137.9
2025-12-01,RF,221.1,310.5,483.2,137.9
2026-01-01,RF,320.3,310.5,483.2,137.9
2026-02-01,RF,269.6,310.5,483.2,137.9
2026-03-01,RF,350.5,310.5,483.2,137.9
2026-04-01,RF,202.8,310.5,483.2,137.9
2026-05-01,RF,221.1,310.5,483.2,137.9
2026-06-01,RF,239.9,310.5,483.2,137.9
2026-07-01,RF,218.9,310.5,483.2,137.9
2026-08-01,RF,159.6,310.5,483.2,137.9
2026-09-01,RF,78.3,310.5,483.2,137.9
2025-07-01,RIG,698.2,812.0,1055.5,568.4
2025-08-01,RIG,471.3,812.0,1055.5,568.4
2025-09-01,RIG,894.2,812.0,1055.5,568.4
2025-10-01,RIG,1372.6,812.0,1055.5,568.4
2025-11-01,RIG,760.9,812.0,1055.5,568.4
2025-12-01,RIG,629.9,812.0,1055.5,568.4
2026-01-01,RIG,693.9,812.0,1055.5,568.4
2026-02-01,RIG,1306.9,812.0,1055.5,568.4
2026-03-01,RIG,847.5,812.0,1055.5,568.4
2026-04-01,RIG,680.0,812.0,1055.5,568.4
2026-05-01,RIG,709.0,812.0,1055.5,568.4
2026-06-01,RIG,694.0,812.0,1055.5,568.4
2026-07-01,RIG,932.2,812.0,1055.5,568.4
2026-08-01,RIG,831.6,812.0,1055.5,568.4
2026-09-01,RIG,515.1,812.0,1055.5,568.4
2025-07-01,RJF,24.6,26.2,31.2,21.2
2025-08-01,RJF,18.0,26.2,31.2,21.2
2025-09-01,RJF,24.9,26.2,31.2,21.2
2025-10-01,RJF,30.2,26.2,31.2,21.2
2025-11-01,RJF,21.3,26.2,31.2,21.2
2025-12-01,RJF,28.1,26.2,31.2,21.2
2026-01-01,RJF,25.0,26.2,31.2,21.2
2026-02-01,RJF,31.5,26.2,31.2,21.2
2026-03-01,RJF,30.4,26.2,31.2,21.2
2026-04-01,RJF,30.7,26.2,31.2,21.2
2026-05-01,RJF,26.8,26.2,31.2,21.2
2026-06-01,RJF,33.3,26.2,31.2,21.2
2026-07-01,RJF,28.4,26.2,31.2,21.2
2026-08-01,RJF,20.9,26.2,31.2,21.2
2026-09-01,RJF,13.1,26.2,31.2,21.2
2025-07-01,RL,13.3,13.2,15.4,11.1
2025-08-01,RL,15.2,13.2,15.4,11.1
2025-09-01,RL,13.8,13.2,15.4,11.1
2025-10-01,RL,10.7,13.2,15.4,11.1
2025-11-01,RL,13.4,13.2,15.4,11.1
2025-12-01,RL,15.3,13.2,15.4,11.1
2026-01-01,RL,9.7,13.2,15.4,11.1
2026-02-01,RL,14.8,13.2,15.4,11.1
2026-03-01,RL,14.4,13.2,15.4,11.1
2026-04-01,RL,11.2,13.2,15.4,11.1
2026-05-01,RL,16.0,13.2,15.4,11.1
2026-06-01,RL,15.5,13.2,15.4,11.1
2026-07-01,RL,12.0,13.2,15.4,11.1
2026-08-01,RL,13.5,13.2,15.4,11.1
2026-09-01,RL,8.0,13.2,15.4,11.1
2025-07-01,RMD,20.8,24.5,29.8,19.1
2025-08-01,RMD,22.1,24.5,29.8,19.1
2025-09-01,RMD,19.9,24.5,29.8,19.1
2025-10-01,RMD,24.6,24.5,29.8,19.1
2025-11-01,RMD,22.3,24.5,29.8,19.1
2025-12-01,RMD,20.2,24.5,29.8,19.1
2026-01-01,RMD,20.4,24.5,29.8,19.1
2026-02-01,RMD,23.3,24.5,29.8,19.1
2026-03-01,RMD,23.3,24.5,29.8,19.1
2026-04-01,RMD,22.2,24.5,29.8,19.1
2026-05-01,RMD,32.3,24.5,29.8,19.1
2026-06-01,RMD,33.5,24.5,29.8,19.1
2026-07-01,RMD,30.5,24.5,29.8,19.1
2026-08-01,RMD,33.4,24.5,29.8,19.1
2026-09-01,RMD,13.2,24.5,29.8,19.1
2025-07-01,ROK,18.2,17.8,21.9,13.7
2025-08-01,ROK,22.8,17.8,21.9,13.7
2025-09-01,ROK,15.5,17.8,21.9,13.7
2025-10-01,ROK,15.6,17.8,21.9,13.7
2025-11-01,ROK,23.0,17.8,21.9,13.7
2025-12-01,ROK,16.6,17.8,21.9,13.7
2026-01-01,ROK,13.6,17.8,21.9,13.7
2026-02-01,ROK,26.5,17.8,21.9,13.7
2026-03-01,ROK,21.9,17.8,21.9,13.7
2026-04-01,ROK,13.9,17.8,21.9,13.7
2026-05-01,ROK,17.1,17.8,21.9,13.7
